index,average distance
0,0.9090909090909091
1,0.8631435753788695
2,0.8713364454173278
3,0.8582179756517991
4,0.8676631913837796
5,0.847080213087566
6,0.8701387933961463
7,0.8704331069257539
8,0.8734375885552356
9,0.8524646358543417
10,0.8869331811978871
11,0.8789069525245996
12,0.8605737456987457
13,0.870583315377433
14,0.8609226598564834
15,0.8623972310369369
16,0.8667983642174819
17,0.8714670794891383
18,0.8710262996807114
19,0.8847544277617807
20,0.8759239192180369
21,0.877978238265003
22,0.8652561751973517
23,0.8643957953810895
24,0.8734453104085457
25,0.8765229190743896
26,0.8556710895313836
27,0.8582782364694129
28,0.8668679270076329
29,0.8572959434356493
30,0.8857146015748957
31,0.8340084776334776
32,0.8755236854648619
33,0.85449000999001
34,0.8667011575026281
35,0.863194798665387
36,0.8726023649553062
37,0.8711408069055128
38,0.8840193956370427
39,0.8505798670283964
40,0.8827171545774487
41,0.8602032134532135
42,0.8498468688174571
43,0.8650471807604161
44,0.8439625513375514
45,0.8558944658282893
46,0.8643337740690682
47,0.8614773453670512
48,0.8715631541660953
49,0.8625413818207935
50,0.8616788677009265
51,0.8812181413357884
52,0.8565027186865423
53,0.8695686184730302
54,0.8610575486604898
55,0.8661508083419848
56,0.8628197431653314
57,0.8663522825214002
58,0.8554431295828354
59,0.8595019653549065
60,0.8626798609886845
61,0.8367058015513897
62,0.8668091606106312
63,0.8689674214674215
64,0.8762122926093514
65,0.8625893126481362
66,0.8546891833656539
67,0.8658301837051837
68,0.8549844101976455
69,0.84206474407945
70,0.8746096983082278
71,0.8530238984871338
72,0.8616343786932023
73,0.8649800248770837
74,0.8791121941783706
75,0.8499014033352269
76,0.8545596258316847
77,0.8600103164809048
78,0.859320211651094
79,0.854112929554106
80,0.8642880705895412
81,0.8758772004139651
82,0.86266807946955
83,0.8749189372718784
84,0.8448234934999641
85,0.8709277919792626
86,0.8733346449302332
87,0.8619103029323617
88,0.8435713787846141
89,0.8649950555979968
90,0.8656267825311943
91,0.8754267611473494
92,0.8579632442720678
93,0.8276121598989246
94,0.8608156214700332
95,0.8713843370681607
96,0.8802410334763277
97,0.8588394750674162
98,0.8647233387527505
99,0.8912048621313328
