index,average game length
0,62
1,103.04
2,108.42
3,110.26
4,114.51
5,101.53
6,104.12
7,97.93
8,95.26
9,108.43
10,100.18
11,100.89
12,100.8
13,102.24
14,105.94
15,108.18
16,85.68
17,103.75
18,114.49
19,99.48
20,82.92
21,105.37
22,96.13
23,110.99
24,87.87
25,110.62
26,99.8
27,103.93
28,96.45
29,104.48
30,109.37
31,98.98
32,101.46
33,106.4
34,109.13
35,113.25
36,89.78
37,96.52
38,101.97
39,96.57
40,108.65
41,111.75
42,107.02
43,119.09
44,98.4
45,98.43
46,101.53
47,99.33
48,99.88
49,91.63
50,101.31
51,106.81
52,93.15
53,96.29
54,102.13
55,102.04
56,96.01
57,90.7
58,109.7
59,99.81
60,97.52
61,102.34
62,105.6
63,108.04
64,94.19
65,103.35
66,103.65
67,96.63
68,98.52
69,114.75
70,109.64
71,90.11
72,99.74
73,97.35
74,107.11
75,101.36
76,96.52
77,91.84
78,108.07
79,101.25
80,90.15
81,97.92
82,103.39
83,100.97
84,99.78
85,102.96
86,101.29
87,98.04
88,86.75
89,105.51
90,102.21
91,102.3
92,93.11
93,94.82
94,112.3
95,99.2
96,98.14
97,85.63
98,99
99,101.51
